array_n,list,Platform,status
157,"['Excedrin','Flonase','Icy Hot','Little Fevers','Motrin','Mucinex']",,
158,"['Nasacort','Neosporin','Nyquil','Pediacare','Rhinocort','Robitussin']",,
159,"['Salonpas','Sudafed','Theraflu','Thermacare','Triaminic','Tylenol']",,
160,"['Xyzal','Zicam','Zyrtec','Abilify','Advair','Alcon']",,
161,"['Ambien','Aricept','Avandia','Aventis','Avodart','Boniva']",,
162,"['Breo','Cialis','Coreg','Crestor','Dailies','Detrol']",,
163,"['Enbrel','Eylea','Femara','Fosamax','Frova','Humira']",,
164,"['Imitrex','Januvia','Lantus','Levitra','Lipitor','Nasonex']",,
165,"['Plavix','Premarin','Prempro','Relpax','Requip','Revlimid']",,
166,"['Rituxan','Similasan','Singulair','Strattera','Symbicort','Treximet']",,
167,"['Valtrex','Vesicare','Viagra','Victoza','Wellbutrin','Zocor']",,
168,"['Zoloft','Zomig','Acorns','American Express','Blackrock (ishares)','Capital One']",,
169,"['CareCredit','Charles Schwab','Credit Karma','Discover','E*TRADE','Edward Jones']",,
170,"['Equifax','Equitable','Experian.com','Fidelity','Franklin Templeton','FreeCreditscore.com']",,
171,"['Goldman Sachs','Invesco','Janus','JP Morgan Chase','LendingTree','Life Lock']",,
172,"['Lincoln Financial','MasterCard','Merrill Lynch','Mint','MoneyGram','Morgan Stanley']",,
173,"['Nationwide','NETELLER','Netspend','Oppenheimer','PayPal','Paysafe']",,
174,"['Paysafecard','PIMCO','Prudential','Putnam','Quicken Loans','Rocket Mortgage']",,
175,"['Scottrade','Skrill','SoFi','Square','T. Rowe Price','TD Ameritrade']",,
176,"['TIAA','Transunion','UBS','USAA','Vanguard','Venmo']",,
177,"['Visa','Voya Financial','Wells Fargo Advisors','Western Union','Aria','Bally's']",,
178,"['Bellagio','Caesars Palace','Caesar's Rewards','Cosmopolitan','Excalibur','Flamingo']",,
179,"['Foxwoods Casino','Hard Rock Hotel','Harrah's','Las Vegas Hilton','Luxor','Mandalay Bay']",,
180,"['MGM Grand','Mirage','New York New York','Paris Las Vegas','Park MGM','Planet Hollywood']",,
181,"['Rio','Stratosphere','The Palazzo','Treasure Island','Tropicana','Venetian']",,
182,"['Winstar World Casino','Wynn Las Vegas','7-Eleven','A & P','Albertsons','Aldi']",,
183,"['Amazon Fresh','BevMo!','Casey's General Store','Cub Foods','Fairway','Food Lion']",,
184,"['Fresh & Easy','Fresh Market','Giant','Giant Eagle','Harris Teeter','HEB']",,
185,"['Kroger','Meijer','Pathmark','Piggly Wiggly','Publix','Safeway']",,
186,"['Save A Lot','Shaw's','Shop 'n Save','Sprouts Farmers Market','Stop & Shop','Trader Joe's']",,
187,"['Wegman's','Whole Foods','Wild Oats','Winn-Dixie','Benefit Cosmetics & Boutique','Bliss Spa']",,
188,"['Clear','Color Vibrancy','Colorsilk','Dove','European Wax Center','EverPure']",,
189,"['Excellence','Fantastic Sams','Feria','Fructis','Garnier','Great Clips']",,
190,"['Hairitage By Mindy','Head & Shoulders','Healthy Look','Herbal Essences','John Frieda','Kristin Ess']",,
191,"['L'Oreal Paris','Natural Instincts','Nice 'n Easy','Nutrisse','OGX','Pantene']",,
192,"['Paul Mitchell','Power Moisture','Preference','Revlon','Rogaine','Sally Beauty']",,
193,"['Smooth Intense','Sport Clips','Supercuts','Together Beauty','Total Repair 5','TPH By Taraji']",,
194,"['TRESemme','Triple Resist','Vive','AAA','AARP Auto/Home Insurance from the Hartford','AARP Medicare Plans from UnitedHealthcare']",,
195,"['Aetna','Aflac','AIG','Allstate','American Family Insurance','Amica']",,
196,"['Anthem Blue Cross','Athene','AXA','Blue Cross/Blue Shield','Blue Shield of California','Chubb']",,
197,"['CIGNA','CNA','Esurance','Farmers Insurance Group','Figo','Geico']",,
198,"['Guardian','Healthy Paws','Humana','John Hancock','Kaiser Permanente','Liberty Mutual']",,
199,"['Mass Mutual','Mercury','MetLife','Nationwide','Navy Federal Credit Union','New York Life']",,
200,"['Northwestern Mutual','Pacific Life','PetPlan','Progressive','Prudential','Safeco']",,
201,"['State Farm','The General Insurance','The Hartford','Transamerica','Travelers','Trupanion']",,
202,"['UnitedHealthcare','USAA','WellPoint','A & E','ABC','Adult Swim']",,
203,"['AMC','Animal Planet','BET','Bloomberg Television','Bravo','C-SPAN']",,
204,"['Cartoon Network','CBS','Cinemax','CMT','CNBC','CNN']",,
205,"['Comedy Central','CW','Discovery Channel','Disney Channel','E!','ESPN']",,
206,"['ESPN Deportes','ESPN2','ESPNU','Food Network','FOX','Fox Business Network']",,
207,"['Fox News Channel','Freeform','FS1','FX','HBO','HGTV']",,
208,"['History Channel','HLN','Lifetime','Logo TV','MLB Network','MotorTrend TV']",,
209,"['MSNBC','MTV','MTV2','National Geographic','NBC','NBC Sports Network']",,
210,"['NFL Network','Nick at Nite','Nick Jr.','Nickelodeon','OWN','Oxygen']",,
211,"['Paramount Network','PBS','SEC Network','Showtime','SyFy','TBS']",,
